"geoid10","usage_year","usage_month","WghtUse"
"60590320021002","2016",7,0.885638522532018
"60590320021002","2016",6,0.975290894247482
"60590320021002","2016",5,0.854764949595572
"60590320021002","2016",4,0.7271557981307
"60590320021002","2016",3,0.676450044781067
"60590320021002","2016",2,0.591304353354948
"60590320021002","2016",1,0.625518745524455
"60590320021002","2015",12,0.787443187938152
"60590320021002","2015",11,1.13737908707726
"60590320021002","2015",10,1.00923863184486
"60590320021002","2015",9,0.829743896507673
"60590320021002","2015",8,0.812211936469617
"60590320021002","2015",7,0.709817833227816
"60590320021002","2015",6,0.741113740432501
"60590320021002","2015",5,0.808776614480589
"60590320021002","2015",4,0.726981026782695
"60590320021002","2015",3,0.761741528293246
"60590320021002","2015",2,0.837139614653671
"60590320021002","2015",1,0.866800237187386
"60590320021002","2014",12,0.885635907775837
"60590320021002","2014",11,1.1518197981323
"60590320021002","2014",10,1.0194139065153
"60590320021002","2014",9,0.970818048047929
"60590320021002","2014",8,0.975096207384191
"60590320021002","2014",7,0.996029313683392
"60590320021002","2014",6,0.955893933530688
"60590320021002","2014",5,0.883398063264334
"60590320021002","2014",4,0.911865104768163
"60590320021002","2014",3,0.801762439122486
"60590320021002","2014",2,1.00128737791154
"60590320021002","2014",1,0.990641188561442
"60590320021002","2013",12,0.992954017187783
"60590320021002","2013",11,1.05896514369319
"60590320021002","2013",10,1.12097668540535
"60590320021002","2013",9,1.02423273666976
"60590320021002","2013",8,1.03569648018007
"60590320021002","2013",7,1.05587374131431
"60590320021002","2013",6,1.02440108709152
"60590320021002","2013",5,0.918301265203634
"60590320021002","2013",4,0.857402450851721
"60590320021002","2013",3,0.834946121605826
"60590320021002","2013",2,0.783025593703337
"60590320021002","2013",1,0.80345170092003
"60590320021002","2012",12,0.878552473094386
"60590320021002","2012",11,1.02070879092912
"60590320021002","2012",10,1.08444810423113
"60590320021002","2012",9,1.12240157067176
"60590320021002","2012",8,0.978909826384535
"60590320021002","2012",7,1.02551113835963
"60590320021002","2012",6,1.00961561293455
"60590320021002","2012",5,0.836338191844807
"60590320021002","2012",4,0.704099097819079
"60590320021002","2012",3,0.745208549091459
"60590320021002","2012",2,0.869957743299905
"60590320021002","2012",1,1.08102750317892
"60590320021002","2011",12,0.950760745942258
"60590320021002","2011",11,0.980046397889701
"60590320021002","2011",10,1.18219207883161
"60590320021002","2011",9,1.07208342194175
"60590320021002","2011",8,1.11102002422706
"60590320021003","2016",7,0.879830956200372
"60590320021003","2016",6,0.86598564449624
"60590320021003","2016",5,0.898035186652583
"60590320021003","2016",4,0.737770547991176
"60590320021003","2016",3,0.694857525790366
"60590320021003","2016",2,0.698923711914407
"60590320021003","2016",1,0.795195409728585
"60590320021003","2015",12,0.916850527978812
"60590320021003","2015",11,0.839592857650414
"60590320021003","2015",10,0.834505354914683
"60590320021003","2015",9,0.758571844471001
